"District","FIPS","Year","Free/Reduced Price Meal Eligibility","Variable","Measure Type","Value"
"Achievement First Bridgeport Academy District","","2007-2008","Eligible For Free Lunch","Student Enrollment","Number","50"
"Achievement First Bridgeport Academy District","","2007-2008","Not Eligible For Lunch","Student Enrollment","Number","24"
"Achievement First Bridgeport Academy District","","2007-2008","Eligible For Reduced Lunch","Student Enrollment","Number","11"
"Achievement First Bridgeport Academy District","","2008-2009","Eligible For Free Lunch","Student Enrollment","Number","100"
"Achievement First Bridgeport Academy District","","2008-2009","Not Eligible For Lunch","Student Enrollment","Number","45"
"Achievement First Bridgeport Academy District","","2008-2009","Eligible For Reduced Lunch","Student Enrollment","Number","15"
"Achievement First Bridgeport Academy District","","2009-2010","Eligible For Free Lunch","Student Enrollment","Number","122"
"Achievement First Bridgeport Academy District","","2009-2010","Not Eligible For Lunch","Student Enrollment","Number","79"
"Achievement First Bridgeport Academy District","","2009-2010","Eligible For Reduced Lunch","Student Enrollment","Number","37"
"Achievement First Bridgeport Academy District","","2010-2011","Eligible For Free Lunch","Student Enrollment","Number","238"
"Achievement First Bridgeport Academy District","","2010-2011","Not Eligible For Lunch","Student Enrollment","Number","110"
"Achievement First Bridgeport Academy District","","2010-2011","Eligible For Reduced Lunch","Student Enrollment","Number","61"
"Achievement First Bridgeport Academy District","","2011-2012","Eligible For Free Lunch","Student Enrollment","Number","378"
"Achievement First Bridgeport Academy District","","2011-2012","Not Eligible For Lunch","Student Enrollment","Number","91"
"Achievement First Bridgeport Academy District","","2011-2012","Eligible For Reduced Lunch","Student Enrollment","Number","74"
"Achievement First Bridgeport Academy District","","2012-2013","Eligible For Free Lunch","Student Enrollment","Number","476"
"Achievement First Bridgeport Academy District","","2012-2013","Not Eligible For Lunch","Student Enrollment","Number","125"
"Achievement First Bridgeport Academy District","","2012-2013","Eligible For Reduced Lunch","Student Enrollment","Number","101"
"Achievement First Bridgeport Academy District","","2013-2014","Eligible For Free Lunch","Student Enrollment","Number","552"
"Achievement First Bridgeport Academy District","","2013-2014","Not Eligible For Lunch","Student Enrollment","Number","176"
"Achievement First Bridgeport Academy District","","2013-2014","Eligible For Reduced Lunch","Student Enrollment","Number","107"
"Achievement First Bridgeport Academy District","","2014-2015","Eligible For Free Lunch","Student Enrollment","Number","672"
"Achievement First Bridgeport Academy District","","2014-2015","Not Eligible For Lunch","Student Enrollment","Number","159"
"Achievement First Bridgeport Academy District","","2014-2015","Eligible For Reduced Lunch","Student Enrollment","Number","146"
"Achievement First Bridgeport Academy District","","2015-2016","Eligible For Free Lunch","Student Enrollment","Number","695"
"Achievement First Bridgeport Academy District","","2015-2016","Not Eligible For Lunch","Student Enrollment","Number","211"
"Achievement First Bridgeport Academy District","","2015-2016","Eligible For Reduced Lunch","Student Enrollment","Number","110"
"Achievement First Bridgeport Academy District","","2016-2017","Eligible For Free Lunch","Student Enrollment","Number","657"
"Achievement First Bridgeport Academy District","","2016-2017","Not Eligible For Lunch","Student Enrollment","Number","287"
"Achievement First Bridgeport Academy District","","2016-2017","Eligible For Reduced Lunch","Student Enrollment","Number","100"
"Achievement First Hartford Academy District","","2007-2008","Eligible For Free Lunch","Student Enrollment","Number","-6666"
"Achievement First Hartford Academy District","","2007-2008","Not Eligible For Lunch","Student Enrollment","Number","-6666"
"Achievement First Hartford Academy District","","2007-2008","Eligible For Reduced Lunch","Student Enrollment","Number","-6666"
"Achievement First Hartford Academy District","","2008-2009","Eligible For Free Lunch","Student Enrollment","Number","134"
"Achievement First Hartford Academy District","","2008-2009","Not Eligible For Lunch","Student Enrollment","Number","93"
"Achievement First Hartford Academy District","","2008-2009","Eligible For Reduced Lunch","Student Enrollment","Number","34"
"Achievement First Hartford Academy District","","2009-2010","Eligible For Free Lunch","Student Enrollment","Number","251"
"Achievement First Hartford Academy District","","2009-2010","Not Eligible For Lunch","Student Enrollment","Number","139"
"Achievement First Hartford Academy District","","2009-2010","Eligible For Reduced Lunch","Student Enrollment","Number","50"
"Achievement First Hartford Academy District","","2010-2011","Eligible For Free Lunch","Student Enrollment","Number","458"
"Achievement First Hartford Academy District","","2010-2011","Not Eligible For Lunch","Student Enrollment","Number","89"
"Achievement First Hartford Academy District","","2010-2011","Eligible For Reduced Lunch","Student Enrollment","Number","63"
"Achievement First Hartford Academy District","","2011-2012","Eligible For Free Lunch","Student Enrollment","Number","762"
"Achievement First Hartford Academy District","","2011-2012","Not Eligible For Lunch","Student Enrollment","Number","0"
"Achievement First Hartford Academy District","","2011-2012","Eligible For Reduced Lunch","Student Enrollment","Number","0"
"Achievement First Hartford Academy District","","2012-2013","Eligible For Free Lunch","Student Enrollment","Number","824"
"Achievement First Hartford Academy District","","2012-2013","Not Eligible For Lunch","Student Enrollment","Number","0"
"Achievement First Hartford Academy District","","2012-2013","Eligible For Reduced Lunch","Student Enrollment","Number","0"
"Achievement First Hartford Academy District","","2013-2014","Eligible For Free Lunch","Student Enrollment","Number","-9999"
"Achievement First Hartford Academy District","","2013-2014","Not Eligible For Lunch","Student Enrollment","Number","-9999"
"Achievement First Hartford Academy District","","2013-2014","Eligible For Reduced Lunch","Student Enrollment","Number","0"
"Achievement First Hartford Academy District","","2014-2015","Eligible For Free Lunch","Student Enrollment","Number","954"
"Achievement First Hartford Academy District","","2014-2015","Not Eligible For Lunch","Student Enrollment","Number","0"
"Achievement First Hartford Academy District","","2014-2015","Eligible For Reduced Lunch","Student Enrollment","Number","0"
"Achievement First Hartford Academy District","","2015-2016","Eligible For Free Lunch","Student Enrollment","Number","1063"
"Achievement First Hartford Academy District","","2015-2016","Not Eligible For Lunch","Student Enrollment","Number","0"
"Achievement First Hartford Academy District","","2015-2016","Eligible For Reduced Lunch","Student Enrollment","Number","0"
"Achievement First Hartford Academy District","","2016-2017","Eligible For Free Lunch","Student Enrollment","Number","1066"
"Achievement First Hartford Academy District","","2016-2017","Not Eligible For Lunch","Student Enrollment","Number","0"
"Achievement First Hartford Academy District","","2016-2017","Eligible For Reduced Lunch","Student Enrollment","Number","0"
"Amistad Academy District","","2007-2008","Eligible For Free Lunch","Student Enrollment","Number","235"
"Amistad Academy District","","2007-2008","Not Eligible For Lunch","Student Enrollment","Number","238"
"Amistad Academy District","","2007-2008","Eligible For Reduced Lunch","Student Enrollment","Number","74"
"Amistad Academy District","","2008-2009","Eligible For Free Lunch","Student Enrollment","Number","264"
"Amistad Academy District","","2008-2009","Not Eligible For Lunch","Student Enrollment","Number","272"
"Amistad Academy District","","2008-2009","Eligible For Reduced Lunch","Student Enrollment","Number","105"
"Amistad Academy District","","2009-2010","Eligible For Free Lunch","Student Enrollment","Number","378"
"Amistad Academy District","","2009-2010","Not Eligible For Lunch","Student Enrollment","Number","251"
"Amistad Academy District","","2009-2010","Eligible For Reduced Lunch","Student Enrollment","Number","115"
"Amistad Academy District","","2010-2011","Eligible For Free Lunch","Student Enrollment","Number","492"
"Amistad Academy District","","2010-2011","Not Eligible For Lunch","Student Enrollment","Number","216"
"Amistad Academy District","","2010-2011","Eligible For Reduced Lunch","Student Enrollment","Number","104"
"Amistad Academy District","","2011-2012","Eligible For Free Lunch","Student Enrollment","Number","590"
"Amistad Academy District","","2011-2012","Not Eligible For Lunch","Student Enrollment","Number","167"
"Amistad Academy District","","2011-2012","Eligible For Reduced Lunch","Student Enrollment","Number","100"
"Amistad Academy District","","2012-2013","Eligible For Free Lunch","Student Enrollment","Number","608"
"Amistad Academy District","","2012-2013","Not Eligible For Lunch","Student Enrollment","Number","171"
"Amistad Academy District","","2012-2013","Eligible For Reduced Lunch","Student Enrollment","Number","125"
"Amistad Academy District","","2013-2014","Eligible For Free Lunch","Student Enrollment","Number","705"
"Amistad Academy District","","2013-2014","Not Eligible For Lunch","Student Enrollment","Number","145"
"Amistad Academy District","","2013-2014","Eligible For Reduced Lunch","Student Enrollment","Number","87"
"Amistad Academy District","","2014-2015","Eligible For Free Lunch","Student Enrollment","Number","677"
"Amistad Academy District","","2014-2015","Not Eligible For Lunch","Student Enrollment","Number","184"
"Amistad Academy District","","2014-2015","Eligible For Reduced Lunch","Student Enrollment","Number","123"
"Amistad Academy District","","2015-2016","Eligible For Free Lunch","Student Enrollment","Number","722"
"Amistad Academy District","","2015-2016","Not Eligible For Lunch","Student Enrollment","Number","174"
"Amistad Academy District","","2015-2016","Eligible For Reduced Lunch","Student Enrollment","Number","140"
"Amistad Academy District","","2016-2017","Eligible For Free Lunch","Student Enrollment","Number","686"
"Amistad Academy District","","2016-2017","Not Eligible For Lunch","Student Enrollment","Number","289"
"Amistad Academy District","","2016-2017","Eligible For Reduced Lunch","Student Enrollment","Number","82"
"Andover School District","","2007-2008","Eligible For Free Lunch","Student Enrollment","Number","-9999"
"Andover School District","","2007-2008","Not Eligible For Lunch","Student Enrollment","Number","333"
"Andover School District","","2007-2008","Eligible For Reduced Lunch","Student Enrollment","Number","-9999"
"Andover School District","","2008-2009","Eligible For Free Lunch","Student Enrollment","Number","10"
"Andover School District","","2008-2009","Not Eligible For Lunch","Student Enrollment","Number","312"
"Andover School District","","2008-2009","Eligible For Reduced Lunch","Student Enrollment","Number","12"
"Andover School District","","2009-2010","Eligible For Free Lunch","Student Enrollment","Number","22"
"Andover School District","","2009-2010","Not Eligible For Lunch","Student Enrollment","Number","302"
"Andover School District","","2009-2010","Eligible For Reduced Lunch","Student Enrollment","Number","12"
"Andover School District","","2010-2011","Eligible For Free Lunch","Student Enrollment","Number","25"
"Andover School District","","2010-2011","Not Eligible For Lunch","Student Enrollment","Number","295"
"Andover School District","","2010-2011","Eligible For Reduced Lunch","Student Enrollment","Number","14"
"Andover School District","","2011-2012","Eligible For Free Lunch","Student Enrollment","Number","25"
"Andover School District","","2011-2012","Not Eligible For Lunch","Student Enrollment","Number","282"
"Andover School District","","2011-2012","Eligible For Reduced Lunch","Student Enrollment","Number","7"
"Andover School District","","2012-2013","Eligible For Free Lunch","Student Enrollment","Number","34"
"Andover School District","","2012-2013","Not Eligible For Lunch","Student Enrollment","Number","271"
"Andover School District","","2012-2013","Eligible For Reduced Lunch","Student Enrollment","Number","10"
"Andover School District","","2013-2014","Eligible For Free Lunch","Student Enrollment","Number","-9999"
"Andover School District","","2013-2014","Not Eligible For Lunch","Student Enrollment","Number","256"
"Andover School District","","2013-2014","Eligible For Reduced Lunch","Student Enrollment","Number","-9999"
"Andover School District","","2014-2015","Eligible For Free Lunch","Student Enrollment","Number","-9999"
"Andover School District","","2014-2015","Not Eligible For Lunch","Student Enrollment","Number","238"
"Andover School District","","2014-2015","Eligible For Reduced Lunch","Student Enrollment","Number","-9999"
"Andover School District","","2015-2016","Eligible For Free Lunch","Student Enrollment","Number","-9999"
"Andover School District","","2015-2016","Not Eligible For Lunch","Student Enrollment","Number","209"
"Andover School District","","2015-2016","Eligible For Reduced Lunch","Student Enrollment","Number","-9999"
"Andover School District","","2016-2017","Eligible For Free Lunch","Student Enrollment","Number","32"
"Andover School District","","2016-2017","Not Eligible For Lunch","Student Enrollment","Number","184"
"Andover School District","","2016-2017","Eligible For Reduced Lunch","Student Enrollment","Number","9"
"Ansonia School District","900901220","2007-2008","Eligible For Free Lunch","Student Enrollment","Number","1097"
"Ansonia School District","900901220","2007-2008","Not Eligible For Lunch","Student Enrollment","Number","1432"
"Ansonia School District","900901220","2007-2008","Eligible For Reduced Lunch","Student Enrollment","Number","214"
"Ansonia School District","900901220","2008-2009","Eligible For Free Lunch","Student Enrollment","Number","1171"
"Ansonia School District","900901220","2008-2009","Not Eligible For Lunch","Student Enrollment","Number","1240"
"Ansonia School District","900901220","2008-2009","Eligible For Reduced Lunch","Student Enrollment","Number","311"
"Ansonia School District","900901220","2009-2010","Eligible For Free Lunch","Student Enrollment","Number","1257"
"Ansonia School District","900901220","2009-2010","Not Eligible For Lunch","Student Enrollment","Number","1148"
"Ansonia School District","900901220","2009-2010","Eligible For Reduced Lunch","Student Enrollment","Number","333"
"Ansonia School District","900901220","2010-2011","Eligible For Free Lunch","Student Enrollment","Number","1282"
"Ansonia School District","900901220","2010-2011","Not Eligible For Lunch","Student Enrollment","Number","1048"
"Ansonia School District","900901220","2010-2011","Eligible For Reduced Lunch","Student Enrollment","Number","297"
"Ansonia School District","900901220","2011-2012","Eligible For Free Lunch","Student Enrollment","Number","1240"
"Ansonia School District","900901220","2011-2012","Not Eligible For Lunch","Student Enrollment","Number","1005"
