"District","FIPS","Year","Free/Reduced Price Meal Eligibility","Variable","Measure Type","Value"
"Ansonia School District","900901220","2011-2012","Eligible For Reduced Lunch","Student Enrollment","Number","281"
"Ansonia School District","900901220","2012-2013","Eligible For Free Lunch","Student Enrollment","Number","1303"
"Ansonia School District","900901220","2012-2013","Not Eligible For Lunch","Student Enrollment","Number","804"
"Ansonia School District","900901220","2012-2013","Eligible For Reduced Lunch","Student Enrollment","Number","318"
"Ansonia School District","900901220","2013-2014","Eligible For Free Lunch","Student Enrollment","Number","1257"
"Ansonia School District","900901220","2013-2014","Not Eligible For Lunch","Student Enrollment","Number","794"
"Ansonia School District","900901220","2013-2014","Eligible For Reduced Lunch","Student Enrollment","Number","287"
"Ansonia School District","900901220","2014-2015","Eligible For Free Lunch","Student Enrollment","Number","1344"
"Ansonia School District","900901220","2014-2015","Not Eligible For Lunch","Student Enrollment","Number","806"
"Ansonia School District","900901220","2014-2015","Eligible For Reduced Lunch","Student Enrollment","Number","265"
"Ansonia School District","900901220","2015-2016","Eligible For Free Lunch","Student Enrollment","Number","1361"
"Ansonia School District","900901220","2015-2016","Not Eligible For Lunch","Student Enrollment","Number","748"
"Ansonia School District","900901220","2015-2016","Eligible For Reduced Lunch","Student Enrollment","Number","273"
"Ansonia School District","900901220","2016-2017","Eligible For Free Lunch","Student Enrollment","Number","1361"
"Ansonia School District","900901220","2016-2017","Not Eligible For Lunch","Student Enrollment","Number","767"
"Ansonia School District","900901220","2016-2017","Eligible For Reduced Lunch","Student Enrollment","Number","236"
"Area Cooperative Educational Services","","2007-2008","Eligible For Free Lunch","Student Enrollment","Number","624"
"Area Cooperative Educational Services","","2007-2008","Not Eligible For Lunch","Student Enrollment","Number","1290"
"Area Cooperative Educational Services","","2007-2008","Eligible For Reduced Lunch","Student Enrollment","Number","184"
"Area Cooperative Educational Services","","2008-2009","Eligible For Free Lunch","Student Enrollment","Number","801"
"Area Cooperative Educational Services","","2008-2009","Not Eligible For Lunch","Student Enrollment","Number","1029"
"Area Cooperative Educational Services","","2008-2009","Eligible For Reduced Lunch","Student Enrollment","Number","268"
"Area Cooperative Educational Services","","2009-2010","Eligible For Free Lunch","Student Enrollment","Number","914"
"Area Cooperative Educational Services","","2009-2010","Not Eligible For Lunch","Student Enrollment","Number","919"
"Area Cooperative Educational Services","","2009-2010","Eligible For Reduced Lunch","Student Enrollment","Number","243"
"Area Cooperative Educational Services","","2010-2011","Eligible For Free Lunch","Student Enrollment","Number","967"
"Area Cooperative Educational Services","","2010-2011","Not Eligible For Lunch","Student Enrollment","Number","871"
"Area Cooperative Educational Services","","2010-2011","Eligible For Reduced Lunch","Student Enrollment","Number","153"
"Area Cooperative Educational Services","","2011-2012","Eligible For Free Lunch","Student Enrollment","Number","790"
"Area Cooperative Educational Services","","2011-2012","Not Eligible For Lunch","Student Enrollment","Number","1030"
"Area Cooperative Educational Services","","2011-2012","Eligible For Reduced Lunch","Student Enrollment","Number","135"
"Area Cooperative Educational Services","","2012-2013","Eligible For Free Lunch","Student Enrollment","Number","765"
"Area Cooperative Educational Services","","2012-2013","Not Eligible For Lunch","Student Enrollment","Number","1022"
"Area Cooperative Educational Services","","2012-2013","Eligible For Reduced Lunch","Student Enrollment","Number","145"
"Area Cooperative Educational Services","","2013-2014","Eligible For Free Lunch","Student Enrollment","Number","913"
"Area Cooperative Educational Services","","2013-2014","Not Eligible For Lunch","Student Enrollment","Number","840"
"Area Cooperative Educational Services","","2013-2014","Eligible For Reduced Lunch","Student Enrollment","Number","180"
"Area Cooperative Educational Services","","2014-2015","Eligible For Free Lunch","Student Enrollment","Number","959"
"Area Cooperative Educational Services","","2014-2015","Not Eligible For Lunch","Student Enrollment","Number","809"
"Area Cooperative Educational Services","","2014-2015","Eligible For Reduced Lunch","Student Enrollment","Number","171"
"Area Cooperative Educational Services","","2015-2016","Eligible For Free Lunch","Student Enrollment","Number","1203"
"Area Cooperative Educational Services","","2015-2016","Not Eligible For Lunch","Student Enrollment","Number","608"
"Area Cooperative Educational Services","","2015-2016","Eligible For Reduced Lunch","Student Enrollment","Number","137"
"Area Cooperative Educational Services","","2016-2017","Eligible For Free Lunch","Student Enrollment","Number","1141"
"Area Cooperative Educational Services","","2016-2017","Not Eligible For Lunch","Student Enrollment","Number","665"
"Area Cooperative Educational Services","","2016-2017","Eligible For Reduced Lunch","Student Enrollment","Number","141"
"Ashford School District","","2007-2008","Eligible For Free Lunch","Student Enrollment","Number","50"
"Ashford School District","","2007-2008","Not Eligible For Lunch","Student Enrollment","Number","434"
"Ashford School District","","2007-2008","Eligible For Reduced Lunch","Student Enrollment","Number","21"
"Ashford School District","","2008-2009","Eligible For Free Lunch","Student Enrollment","Number","65"
"Ashford School District","","2008-2009","Not Eligible For Lunch","Student Enrollment","Number","396"
"Ashford School District","","2008-2009","Eligible For Reduced Lunch","Student Enrollment","Number","27"
"Ashford School District","","2009-2010","Eligible For Free Lunch","Student Enrollment","Number","72"
"Ashford School District","","2009-2010","Not Eligible For Lunch","Student Enrollment","Number","374"
"Ashford School District","","2009-2010","Eligible For Reduced Lunch","Student Enrollment","Number","32"
"Ashford School District","","2010-2011","Eligible For Free Lunch","Student Enrollment","Number","86"
"Ashford School District","","2010-2011","Not Eligible For Lunch","Student Enrollment","Number","370"
"Ashford School District","","2010-2011","Eligible For Reduced Lunch","Student Enrollment","Number","23"
"Ashford School District","","2011-2012","Eligible For Free Lunch","Student Enrollment","Number","111"
"Ashford School District","","2011-2012","Not Eligible For Lunch","Student Enrollment","Number","339"
"Ashford School District","","2011-2012","Eligible For Reduced Lunch","Student Enrollment","Number","31"
"Ashford School District","","2012-2013","Eligible For Free Lunch","Student Enrollment","Number","119"
"Ashford School District","","2012-2013","Not Eligible For Lunch","Student Enrollment","Number","295"
"Ashford School District","","2012-2013","Eligible For Reduced Lunch","Student Enrollment","Number","26"
"Ashford School District","","2013-2014","Eligible For Free Lunch","Student Enrollment","Number","107"
"Ashford School District","","2013-2014","Not Eligible For Lunch","Student Enrollment","Number","298"
"Ashford School District","","2013-2014","Eligible For Reduced Lunch","Student Enrollment","Number","19"
"Ashford School District","","2014-2015","Eligible For Free Lunch","Student Enrollment","Number","118"
"Ashford School District","","2014-2015","Not Eligible For Lunch","Student Enrollment","Number","281"
"Ashford School District","","2014-2015","Eligible For Reduced Lunch","Student Enrollment","Number","18"
"Ashford School District","","2015-2016","Eligible For Free Lunch","Student Enrollment","Number","122"
"Ashford School District","","2015-2016","Not Eligible For Lunch","Student Enrollment","Number","262"
"Ashford School District","","2015-2016","Eligible For Reduced Lunch","Student Enrollment","Number","16"
"Ashford School District","","2016-2017","Eligible For Free Lunch","Student Enrollment","Number","105"
"Ashford School District","","2016-2017","Not Eligible For Lunch","Student Enrollment","Number","289"
"Ashford School District","","2016-2017","Eligible For Reduced Lunch","Student Enrollment","Number","13"
"Avon School District","900302060","2007-2008","Eligible For Free Lunch","Student Enrollment","Number","58"
"Avon School District","900302060","2007-2008","Not Eligible For Lunch","Student Enrollment","Number","3514"
"Avon School District","900302060","2007-2008","Eligible For Reduced Lunch","Student Enrollment","Number","40"
"Avon School District","900302060","2008-2009","Eligible For Free Lunch","Student Enrollment","Number","64"
"Avon School District","900302060","2008-2009","Not Eligible For Lunch","Student Enrollment","Number","3456"
"Avon School District","900302060","2008-2009","Eligible For Reduced Lunch","Student Enrollment","Number","49"
"Avon School District","900302060","2009-2010","Eligible For Free Lunch","Student Enrollment","Number","91"
"Avon School District","900302060","2009-2010","Not Eligible For Lunch","Student Enrollment","Number","3449"
"Avon School District","900302060","2009-2010","Eligible For Reduced Lunch","Student Enrollment","Number","58"
"Avon School District","900302060","2010-2011","Eligible For Free Lunch","Student Enrollment","Number","136"
"Avon School District","900302060","2010-2011","Not Eligible For Lunch","Student Enrollment","Number","3374"
"Avon School District","900302060","2010-2011","Eligible For Reduced Lunch","Student Enrollment","Number","54"
"Avon School District","900302060","2011-2012","Eligible For Free Lunch","Student Enrollment","Number","145"
"Avon School District","900302060","2011-2012","Not Eligible For Lunch","Student Enrollment","Number","3316"
"Avon School District","900302060","2011-2012","Eligible For Reduced Lunch","Student Enrollment","Number","57"
"Avon School District","900302060","2012-2013","Eligible For Free Lunch","Student Enrollment","Number","155"
"Avon School District","900302060","2012-2013","Not Eligible For Lunch","Student Enrollment","Number","3215"
"Avon School District","900302060","2012-2013","Eligible For Reduced Lunch","Student Enrollment","Number","51"
"Avon School District","900302060","2013-2014","Eligible For Free Lunch","Student Enrollment","Number","158"
"Avon School District","900302060","2013-2014","Not Eligible For Lunch","Student Enrollment","Number","3183"
"Avon School District","900302060","2013-2014","Eligible For Reduced Lunch","Student Enrollment","Number","46"
"Avon School District","900302060","2014-2015","Eligible For Free Lunch","Student Enrollment","Number","157"
"Avon School District","900302060","2014-2015","Not Eligible For Lunch","Student Enrollment","Number","3139"
"Avon School District","900302060","2014-2015","Eligible For Reduced Lunch","Student Enrollment","Number","36"
"Avon School District","900302060","2015-2016","Eligible For Free Lunch","Student Enrollment","Number","147"
"Avon School District","900302060","2015-2016","Not Eligible For Lunch","Student Enrollment","Number","3117"
"Avon School District","900302060","2015-2016","Eligible For Reduced Lunch","Student Enrollment","Number","21"
"Avon School District","900302060","2016-2017","Eligible For Free Lunch","Student Enrollment","Number","173"
"Avon School District","900302060","2016-2017","Not Eligible For Lunch","Student Enrollment","Number","3088"
"Avon School District","900302060","2016-2017","Eligible For Reduced Lunch","Student Enrollment","Number","27"
"Barkhamsted School District","","2007-2008","Eligible For Free Lunch","Student Enrollment","Number","-9999"
"Barkhamsted School District","","2007-2008","Not Eligible For Lunch","Student Enrollment","Number","341"
"Barkhamsted School District","","2007-2008","Eligible For Reduced Lunch","Student Enrollment","Number","-9999"
"Barkhamsted School District","","2008-2009","Eligible For Free Lunch","Student Enrollment","Number","12"
"Barkhamsted School District","","2008-2009","Not Eligible For Lunch","Student Enrollment","Number","337"
"Barkhamsted School District","","2008-2009","Eligible For Reduced Lunch","Student Enrollment","Number","13"
"Barkhamsted School District","","2009-2010","Eligible For Free Lunch","Student Enrollment","Number","-9999"
"Barkhamsted School District","","2009-2010","Not Eligible For Lunch","Student Enrollment","Number","350"
"Barkhamsted School District","","2009-2010","Eligible For Reduced Lunch","Student Enrollment","Number","-9999"
"Barkhamsted School District","","2010-2011","Eligible For Free Lunch","Student Enrollment","Number","16"
"Barkhamsted School District","","2010-2011","Not Eligible For Lunch","Student Enrollment","Number","349"
"Barkhamsted School District","","2010-2011","Eligible For Reduced Lunch","Student Enrollment","Number","8"
"Barkhamsted School District","","2011-2012","Eligible For Free Lunch","Student Enrollment","Number","-9999"
"Barkhamsted School District","","2011-2012","Not Eligible For Lunch","Student Enrollment","Number","338"
"Barkhamsted School District","","2011-2012","Eligible For Reduced Lunch","Student Enrollment","Number","-9999"
"Barkhamsted School District","","2012-2013","Eligible For Free Lunch","Student Enrollment","Number","-9999"
"Barkhamsted School District","","2012-2013","Not Eligible For Lunch","Student Enrollment","Number","325"
"Barkhamsted School District","","2012-2013","Eligible For Reduced Lunch","Student Enrollment","Number","-9999"
"Barkhamsted School District","","2013-2014","Eligible For Free Lunch","Student Enrollment","Number","13"
"Barkhamsted School District","","2013-2014","Not Eligible For Lunch","Student Enrollment","Number","283"
"Barkhamsted School District","","2013-2014","Eligible For Reduced Lunch","Student Enrollment","Number","11"
"Barkhamsted School District","","2014-2015","Eligible For Free Lunch","Student Enrollment","Number","19"
"Barkhamsted School District","","2014-2015","Not Eligible For Lunch","Student Enrollment","Number","288"
"Barkhamsted School District","","2014-2015","Eligible For Reduced Lunch","Student Enrollment","Number","10"
"Barkhamsted School District","","2015-2016","Eligible For Free Lunch","Student Enrollment","Number","-9999"
"Barkhamsted School District","","2015-2016","Not Eligible For Lunch","Student Enrollment","Number","264"
"Barkhamsted School District","","2015-2016","Eligible For Reduced Lunch","Student Enrollment","Number","-9999"
"Barkhamsted School District","","2016-2017","Eligible For Free Lunch","Student Enrollment","Number","14"
"Barkhamsted School District","","2016-2017","Not Eligible For Lunch","Student Enrollment","Number","235"
"Barkhamsted School District","","2016-2017","Eligible For Reduced Lunch","Student Enrollment","Number","6"
"Berlin School District","","2007-2008","Eligible For Free Lunch","Student Enrollment","Number","124"
"Berlin School District","","2007-2008","Not Eligible For Lunch","Student Enrollment","Number","3074"
"Berlin School District","","2007-2008","Eligible For Reduced Lunch","Student Enrollment","Number","77"
"Berlin School District","","2008-2009","Eligible For Free Lunch","Student Enrollment","Number","145"
"Berlin School District","","2008-2009","Not Eligible For Lunch","Student Enrollment","Number","2996"
"Berlin School District","","2008-2009","Eligible For Reduced Lunch","Student Enrollment","Number","82"
"Berlin School District","","2009-2010","Eligible For Free Lunch","Student Enrollment","Number","151"
"Berlin School District","","2009-2010","Not Eligible For Lunch","Student Enrollment","Number","2970"
"Berlin School District","","2009-2010","Eligible For Reduced Lunch","Student Enrollment","Number","48"
"Berlin School District","","2010-2011","Eligible For Free Lunch","Student Enrollment","Number","206"
"Berlin School District","","2010-2011","Not Eligible For Lunch","Student Enrollment","Number","2856"
"Berlin School District","","2010-2011","Eligible For Reduced Lunch","Student Enrollment","Number","67"
"Berlin School District","","2011-2012","Eligible For Free Lunch","Student Enrollment","Number","272"
"Berlin School District","","2011-2012","Not Eligible For Lunch","Student Enrollment","Number","2689"
"Berlin School District","","2011-2012","Eligible For Reduced Lunch","Student Enrollment","Number","66"
"Berlin School District","","2012-2013","Eligible For Free Lunch","Student Enrollment","Number","321"
"Berlin School District","","2012-2013","Not Eligible For Lunch","Student Enrollment","Number","2586"
"Berlin School District","","2012-2013","Eligible For Reduced Lunch","Student Enrollment","Number","78"
"Berlin School District","","2013-2014","Eligible For Free Lunch","Student Enrollment","Number","354"
"Berlin School District","","2013-2014","Not Eligible For Lunch","Student Enrollment","Number","2543"
"Berlin School District","","2013-2014","Eligible For Reduced Lunch","Student Enrollment","Number","66"
"Berlin School District","","2014-2015","Eligible For Free Lunch","Student Enrollment","Number","341"
"Berlin School District","","2014-2015","Not Eligible For Lunch","Student Enrollment","Number","2495"
"Berlin School District","","2014-2015","Eligible For Reduced Lunch","Student Enrollment","Number","73"
"Berlin School District","","2015-2016","Eligible For Free Lunch","Student Enrollment","Number","340"
"Berlin School District","","2015-2016","Not Eligible For Lunch","Student Enrollment","Number","2446"
"Berlin School District","","2015-2016","Eligible For Reduced Lunch","Student Enrollment","Number","93"
"Berlin School District","","2016-2017","Eligible For Free Lunch","Student Enrollment","Number","321"
"Berlin School District","","2016-2017","Not Eligible For Lunch","Student Enrollment","Number","2397"
"Berlin School District","","2016-2017","Eligible For Reduced Lunch","Student Enrollment","Number","87"
"Bethany School District","","2007-2008","Eligible For Free Lunch","Student Enrollment","Number","6"
"Bethany School District","","2007-2008","Not Eligible For Lunch","Student Enrollment","Number","554"
"Bethany School District","","2007-2008","Eligible For Reduced Lunch","Student Enrollment","Number","10"
"Bethany School District","","2008-2009","Eligible For Free Lunch","Student Enrollment","Number","8"
"Bethany School District","","2008-2009","Not Eligible For Lunch","Student Enrollment","Number","536"
"Bethany School District","","2008-2009","Eligible For Reduced Lunch","Student Enrollment","Number","7"
"Bethany School District","","2009-2010","Eligible For Free Lunch","Student Enrollment","Number","12"
"Bethany School District","","2009-2010","Not Eligible For Lunch","Student Enrollment","Number","496"
