"Student Counts by District and Free/Reduced Lunch Eligibility"
"All Districts"
"Trend"

"",,"Free/Reduced Lunch Eligibility",,,
"Lisbon School District","=""0730011""",707,3845,222,4774
"Litchfield School District","=""0740011""",840,9714,312,10866
"Madison School District","=""0760011""",873,32875,404,34152
"Manchester School District","=""0770011""",27548,32661,5228,65437
"Mansfield School District","=""0780011""",2227,10011,569,12807
"Marlborough School District","=""0790011""",331,5859,100,6290
"Meriden School District","=""0800011""",48393,28494,6437,83324
"Middletown School District","=""0830011""",17602,28979,3283,49864
"Milford School District","=""0840011""",9316,54695,3146,67157
"Monroe School District","=""0850011""",1568,33666,826,36060
"Montville School District","=""0860011""",5355,17782,2156,25293
"Naugatuck School District","=""0880011""",14673,26666,4215,45554
"New Beginnings Inc Family Academy District","=""""",443,35,21,499
"New Beginnings Inc., Family Academy District","=""2800013""",2280,886,408,3574
"New Britain School District","=""0890011""",69376,25053,8368,102797
"New Canaan School District","=""0900011""",0,41756,0,41756
"New Fairfield School District","=""0910011""",1605,25748,668,28021
"New Hartford School District","=""0920011""",293,5156,146,5595
"New Haven School District","=""0930011""",129493,67057,12151,208701
"New London School District","=""0950011""",23523,6498,1556,31577
"New Milford School District","=""0960011""",5405,38629,2214,46248
"Newington School District","=""0940011""",5808,34881,2570,43259
"Newtown School District","=""0970011""",2133,48507,829,51469
"Norfolk School District","=""0980011""",130,1113,63,1306
"North Branford School District","=""0990011""",2134,18391,944,21469
"North Canaan School District","=""1000011""",514,2422,143,3079
"North Haven School District","=""1010011""",2626,31377,1247,35250
"North Stonington School District","=""1020011""",951,6395,337,7683
"Norwalk School District","=""1030011""",39208,63533,8653,111394
"Norwich Free Academy District","=""9010022""",5508,16866,1205,23579
"Norwich School District","=""1040011""",22526,12063,3985,38574
"Odyssey Community School District","=""2630013""",697,1799,167,2663
"Old Saybrook School District","=""1060011""",1598,12855,582,15035
"Orange School District","=""1070011""",345,12012,164,12521
"Oxford School District","=""1080011""",1154,18868,442,20464
"Park City Prep Charter School District","=""2830013""",1500,941,329,2770
"Path Academy District","=""2930013""",376,49,7,432
"Plainfield School District","=""1090011""",8000,15130,2291,25421
"Plainville School District","=""1100011""",4924,18035,1577,24536
"Plymouth School District","=""1110011""",3187,12593,984,16764
"Pomfret School District","=""1120011""",475,4099,137,4711
"Portland School District","=""1130011""",1870,11669,340,13879
"Preston School District","=""1140011""",538,3672,222,4432
"Putnam School District","=""1160011""",5806,5484,1260,12550
"Redding School District","=""1170011""",217,11142,64,11423
"Regional School District 01","=""2010012""",561,3910,285,4756
"Regional School District 04","=""2040012""",644,8766,268,9678
"Regional School District 05","=""2050012""",632,23152,227,24011
"Regional School District 06","=""2060012""",833,9148,369,10350
"Regional School District 07","=""2070012""",662,10522,247,11431
"Regional School District 08","=""2080012""",719,15972,398,17089
"Regional School District 09","=""2090012""",201,9825,77,10103
"Regional School District 10","=""2100012""",1087,25072,322,26481
"Regional School District 11","=""2110012""",513,2181,172,2866
"Regional School District 12","=""2120012""",468,8125,115,8708
"Regional School District 13","=""2130012""",814,18420,375,19609
"Regional School District 14","=""2140012""",1310,18027,458,19795
"Regional School District 15","=""2150012""",1347,40072,447,41866
"Regional School District 16","=""2160012""",2062,21460,1005,24527
"Regional School District 17","=""2170012""",1176,21883,470,23529
"Regional School District 18","=""2180012""",781,13346,188,14315
"Regional School District 19","=""2190012""",1297,10388,384,12069
"Ridgefield School District","=""1180011""",888,51997,301,53186
"Rocky Hill School District","=""1190011""",2165,22752,724,25641
"Salem School District","=""1210011""",301,4083,102,4486
"Salisbury School District","=""1220011""",219,2630,126,2975
"Scotland School District","=""1230011""",260,1108,72,1440
"Seymour School District","=""1240011""",3928,18093,1615,23636
"Sharon School District","=""1250011""",274,1485,101,1860
"Shelton School District","=""1260011""",6915,42667,2487,52069
"Sherman School District","=""1270011""",167,3745,18,3930
"Side By Side Charter School District","=""2700013""",839,1270,222,2331
"Simsbury School District","=""1280011""",2623,42500,745,45868
"Somers School District","=""1290011""",570,14899,363,15832
"South Windsor School District","=""1320011""",3181,40247,1241,44669
"Southington School District","=""1310011""",6547,59036,1881,67464
"Sprague School District","=""1330011""",1155,2150,316,3621
"Stafford School District","=""1340011""",3616,12377,1408,17401
"Stamford Academy District","=""2820013""",1097,120,175,1392
"Stamford Charter School for Excellence District","=""2960013""",206,140,35,381
"Stamford School District","=""1350011""",61071,81749,13105,155925
"Sterling School District","=""1360011""",1175,3304,365,4844
"Stonington School District","=""1370011""",2658,20369,769,23796
"Stratford School District","=""1380011""",19960,44163,7975,72098
"Suffield School District","=""1390011""",1695,22450,543,24688
"The Bridge Academy District","=""2690013""",1673,548,499,2720
"The Gilbert School District","=""9020022""",1430,2910,425,4765
"Thomaston School District","=""1400011""",1378,8507,664,10549
"Thompson School District","=""1410011""",2681,8331,990,12002
"Tolland School District","=""1420011""",1192,27195,483,28870
"Torrington School District","=""1430011""",15524,25630,3972,45126
"Trailblazers Academy District","=""2780013""",1096,226,178,1500
"Trumbull School District","=""1440011""",3134,63986,1593,68713
"Unified School District #1","=""3360015""","*",0,"*",7106
"Unified School District #2","=""3470015""",2444,163,0,2607
"Union School District","=""1450011""",19,734,11,764
"Vernon School District","=""1460011""",10494,22374,1903,34771
"Voluntown School District","=""1470011""",512,2453,139,3104
"Wallingford School District","=""1480011""",7728,54251,1873,63852
"Waterbury School District","=""1510011""",125935,43938,15520,185393
"Waterford School District","=""1520011""",3021,23105,987,27113
"Watertown School District","=""1530011""",4242,24874,1611,30727
"West Hartford School District","=""1550011""",14884,80988,4268,100140
"West Haven School District","=""1560011""",27597,28067,5496,61160
"Westbrook School District","=""1540011""",883,7772,226,8881
"Weston School District","=""1570011""",269,24412,143,24824
"Westport School District","=""1580011""",1368,55730,392,57490
"Wethersfield School District","=""1590011""",4658,30929,1770,37357
"Willington School District","=""1600011""",613,4176,165,4954
"Wilton School District","=""1610011""",460,42390,98,42948
"Winchester School District","=""1620011""",2811,4282,742,7835
"Windham School District","=""1630011""",22687,8303,2688,33678
"Windsor Locks School District","=""1650011""",4458,11597,1345,17400
"Windsor School District","=""1640011""",8088,24464,2841,35393
"Wolcott School District","=""1660011""",3314,21070,1655,26039
"Woodbridge School District","=""1670011""",284,7216,105,7605
"Woodstock Academy District","=""9030022""",11,10481,379,10871
"Woodstock School District","=""1690011""",770,7897,341,9008
"Total","=""""",1647447,3641059,279792,5568298

