"Student Counts by District and Free/Reduced Lunch Eligibility"
"All Districts"
"Trend"

"",,"Free/Reduced Lunch Eligibility",,,
"District","District Code","Free","Non-Subsidized","Reduced","Total"
"Achievement First Hartford Academy Inc. District","=""2880013""",6380,323,147,6850
"Amistad Academy District","=""2790013""",5357,2107,1055,8519
"Andover School District","=""0010011""",263,2682,84,3029
"Ansonia School District","=""0020011""",12673,9792,2815,25280
"Area Cooperative Educational Services","=""2440014""",9077,9083,1757,19917
"Ashford School District","=""0030011""",955,3338,226,4519
"Avon School District","=""0040011""",1284,32851,439,34574
"Barkhamsted School District","=""0050011""",143,3110,78,3331
"Berlin School District","=""0070011""",2575,27052,737,30364
"Bethany School District","=""0080011""",168,4461,69,4698
"Bethel School District","=""0090011""",3329,25408,1384,30121
"Bloomfield School District","=""0110011""",8114,11398,2143,21655
"Bolton School District","=""0120011""",820,7693,174,8687
"Booker T. Washington Academy District","=""2950013""",352,83,77,512
"Bozrah School District","=""0130011""",320,1925,123,2368
"Branford School District","=""0140011""",4993,26219,1821,33033
"Brass City Charter School District","=""2900013""",349,221,100,670
"Bridgeport Achievement First District","=""2850013""",3940,1307,762,6009
"Bridgeport School District","=""0150011""",192462,11981,3166,207609
"Bristol School District","=""0170011""",28366,50120,6411,84897
"Brookfield School District","=""0180011""",1319,26356,505,28180
"Brooklyn School District","=""0190011""",1966,7024,423,9413
"Canaan School District","=""0210011""",77,756,0,833
"Canterbury School District","=""0220011""",804,4096,298,5198
"Canton School District","=""0230011""",1026,15848,284,17158
"Capital Preparatory Harbor School Inc. District","=""2970013""",252,199,52,503
"Capitol Region Education Council","=""2410014""",21449,32588,4889,58926
"Chaplin School District","=""0240011""",432,1279,99,1810
"Charter School for Young Children on Asylum Hill District","=""2870013""",124,388,34,546
"Cheshire School District","=""0250011""",2272,44264,861,47397
"Chester School District","=""0260011""",213,2329,68,2610
"Clinton School District","=""0270011""",2540,16386,824,19750
"Colchester School District","=""0280011""",2905,25314,942,29161
"Colebrook School District","=""0290011""",120,867,38,1025
"Columbia School District","=""0300011""",445,4571,122,5138
"Common Ground High School District","=""2680013""",785,771,154,1710
"Connecticut Technical High School System","=""9000016""",33481,64299,7623,105403
"Cooperative Educational Services","=""2430014""",1844,5341,842,8027
"Cornwall School District","=""0310011""",141,916,0,1057
"Coventry School District","=""0320011""",2336,14946,594,17876
"Cromwell School District","=""0330011""",2460,16784,823,20067
"Danbury School District","=""0340011""",38189,58736,10818,107743
"Darien School District","=""0350011""",422,47690,214,48326
"Deep River School District","=""0360011""",378,2896,124,3398
"Department of Mental Health and Addiction Services","=""3370015""",24,36,0,60
"Derby School District","=""0370011""",6314,7024,1303,14641
"East Granby School District","=""0400011""","*",8296,"*",8830
"East Haddam School District","=""0410011""",1000,11162,459,12621
"East Hampton School District","=""0420011""",1622,17387,485,19494
"East Hartford School District","=""0430011""",35624,29103,6482,71209
"East Haven School District","=""0440011""",10299,19047,3669,33015
"East Lyme School District","=""0450011""",2351,26663,826,29840
"East Windsor School District","=""0470011""",3570,8341,859,12770
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",895,1871,177,2943
"Eastford School District","=""0390011""",203,1430,7,1640
"Easton School District","=""0460011""",164,10111,60,10335
"EdAdvance","=""2420014""",207,"*","*",219
"Education Connection","=""2420014""",1612,"*","*",1966
"Ellington School District","=""0480011""",1824,24450,470,26744
"Elm City College Preparatory School","=""2810013""",515,300,170,985
"Elm City College Preparatory School District","=""2890013""",3100,1249,675,5024
"Elm City Montessori School District","=""2910013""",44,279,0,323
"Enfield School District","=""0490011""",14803,37994,3911,56708
"Essex School District","=""0500011""",270,4759,147,5176
"Explorations District","=""2720013""",265,544,24,833
"Fairfield School District","=""0510011""",6370,92667,2357,101394
"Farmington School District","=""0520011""",2863,37564,678,41105
"Franklin School District","=""0530011""",218,1744,46,2008
"Glastonbury School District","=""0540011""",3787,60326,1289,65402
"Granby School District","=""0560011""",1169,19786,371,21326
"Great Oaks Charter School District","=""2940013""",471,127,79,677
"Greenwich School District","=""0570011""",8658,76949,3124,88731
"Griswold School District","=""0580011""",5164,13394,1358,19916
"Groton School District","=""0590011""",13480,29971,5027,48478
"Guilford School District","=""0600011""",1782,33475,896,36153
"Hamden School District","=""0620011""",17262,37262,4210,58734
"Hampton School District","=""0630011""",191,1019,52,1262
"Hartford School District","=""0640011""",182650,30064,4227,216941
"Hartland School District","=""0650011""",100,2039,17,2156
"Hebron School District","=""0670011""",384,9182,199,9765
"Highville Charter School District","=""2860013""",1680,1280,626,3586
"Integrated Day Charter School District","=""2640013""",678,2333,292,3303
"Interdistrict School for Arts and Comm District","=""2650013""",1167,739,252,2158
"Jumoke Academy District","=""2610013""",2566,2396,669,5631
"Kent School District","=""0680011""",244,2326,91,2661
"Killingly School District","=""0690011""",8743,15595,2353,26691
"Learn","=""2450014""",6537,9128,1308,16973
"Lebanon School District","=""0710011""",1364,11006,444,12814
"Ledyard School District","=""0720011""",3326,21922,922,26170
